,Name,Team,Age,Height_cm,Weight_kg,Jersey_no,College,Games_played,Points_played,Posessions,Total scores,Assists,Goals,Blocks,+-,Completions,Cmp%,Yards,Throwing Yards,Receiving Yards,Offensive Effic,Hockey assists,Throwaways,Stalls,Drops,Calahans,Hucks,Huck completion %,Pulls,Offensive PP,Defensive PP,Minutes played
423,Vincent Genest,MTL,23,172.72,,16,,12,161,116,10,2,8,4,7,37,86.05,696,192,504,43.1,2,6,0,1,0,2,66.67,4,48,113,182
424,Alex Brouwer,DAL,28,180.34,77.112,10,Baylor,10,160,107,9,1,8,2,6,29,90.63,638,24,614,40.19,3,3,0,2,0,0,,4,38,122,180
425,Ben Ashton,SLC,,,,45,,8,120,89,6,3,3,5,6,53,91.38,632,402,230,50.56,10,4,0,1,0,0,0.0,0,1,119,140
426,Bryce Lozinski,SD,25,175.26,70.308,5,UCSD,13,233,168,13,8,5,4,6,124,91.85,1393,821,572,44.64,8,10,0,1,0,2,66.67,1,31,202,279
427,Cam Bellando,PIT,,,,7,,9,109,71,8,3,5,5,6,28,80.0,338,191,147,35.21,2,5,0,2,0,1,33.33,9,10,99,131
428,Colin Masino,PHI,29,187.96,74.844,26,Penn State,5,76,41,5,3,2,3,6,25,92.59,373,155,218,48.78,1,1,0,1,0,1,33.33,0,4,72,90
429,Colin Ringwood,IND,30,175.26,74.844,12,Rose-Hulman Institute of Technology,13,147,67,7,0,7,1,6,34,94.44,422,237,185,74.63,5,1,0,1,0,1,100.0,0,2,145,153
430,Ramzi Cope-Musleh,PIT,,,,13,,8,111,84,5,0,5,2,7,20,100.0,338,99,239,40.48,3,0,0,0,0,0,,0,19,92,126
431,Reid Martin,CHI,24,175.26,74.844,20,University of Illinois Urbana- Champaign,14,189,116,6,5,1,6,7,58,89.23,591,343,248,47.41,2,4,0,1,0,1,100.0,1,8,181,190
432,Trenton Spinks,ATL,32,190.5,,87,Georgia State,9,131,83,8,2,6,0,7,40,95.24,686,217,469,57.83,5,1,0,0,0,1,100.0,0,17,114,169
433,Walt Johnson,COL,,,,83,,6,63,34,6,4,2,3,7,15,,344,143,201,55.88,0,1,0,1,0,0,0.0,0,0,63,69
434,Alex Donadio,BOS,,,,96,,10,156,86,5,1,4,6,6,27,84.38,293,176,117,47.67,4,4,0,1,0,1,33.33,3,0,156,172
435,Brice Dunn,PHI,29,182.88,81.648,6,Temple University,6,115,98,9,2,7,1,6,54,93.1,887,205,682,52.04,2,3,1,1,0,0,0.0,0,45,70,120
436,Brandon Malecek,DAL,,177.8,78.0192,0,Wisconsin,7,133,170,22,20,2,0,6,243,92.75,2799,2330,469,45.29,12,15,2,1,0,15,68.18,0,133,0,156
437,Christian Gaeta,ATL,,,,26,,4,45,32,6,3,3,2,6,7,,264,57,207,46.88,0,1,0,1,0,0,,0,1,44,52
438,Clayton Partlow,TB,25,,,29,Florida State University,8,89,81,7,1,6,1,6,25,100.0,487,6,481,35.8,2,0,0,2,0,0,,0,43,46,103
439,Dominic Jacobs,SEA,21,165.1,61.236,55,Seattle University,4,77,40,3,1,2,3,6,3,,71,-7,78,35.0,0,0,0,0,0,0,,1,9,68,70
440,Delrico Johnson,DC,33,177.8,74.844,4,Towson,6,92,54,4,0,4,5,6,15,,252,47,205,53.7,2,2,0,1,0,0,0.0,23,3,89,102
441,Garrett Santi,LA,30,175.26,,66,Central Connecticut State University,12,212,104,8,5,3,4,6,48,84.21,664,288,376,37.5,0,6,0,0,0,2,40.0,144,7,205,240
442,Ivan Tran,BOS,,,,1,,6,70,49,4,2,2,2,6,18,,161,46,115,42.86,1,0,0,0,0,1,100.0,0,0,70,91
443,Jared Canfield,TOR,24,193.04,,98,Bowmanville High School,7,80,35,5,2,3,1,6,12,,230,-2,232,60.0,0,0,0,0,0,0,,0,13,67,78
444,Jeffrey Silverman,SD,36,177.8,74.844,19,UCSB,9,92,43,2,2,0,5,6,14,,120,25,95,48.84,1,1,0,0,0,0,,0,0,92,105
445,Kenny Furdella,PIT,,187.96,81.648,14,Drexel,5,85,80,12,6,6,0,6,78,93.98,779,472,307,55.0,4,5,0,1,0,1,50.0,4,50,35,87
446,Kai Marcus,MAD,,,,97,,2,32,40,13,10,3,0,6,64,87.67,1021,676,345,47.5,1,7,0,0,0,7,50.0,0,32,0,37
447,Martis Artis,POR,,,,98,,10,122,64,3,1,2,5,6,15,,316,75,241,29.69,1,1,0,1,0,0,,0,9,113,116
448,Paul Mensah,OTT,32,177.8,77.112,3,Carleton University (CAN),5,66,39,4,1,3,2,6,4,,157,27,130,38.46,1,0,0,0,0,0,,0,7,59,66
449,Sam Gabrielson,ATL,,,,42,,5,65,76,8,5,3,0,6,78,97.5,805,595,210,51.32,4,2,0,0,0,1,100.0,0,50,15,83
450,Gordon Larson,MIN,,,,18,,3,47,39,7,4,3,0,6,18,,365,154,211,56.41,1,1,0,0,0,0,,0,3,44,44
451,Hayden Austin-Knab,ATL,,,,17,,6,118,135,13,4,9,2,6,97,94.17,1538,625,913,59.26,13,6,0,3,0,3,50.0,4,108,10,131
452,Julien Bernat,MTL,,,,20,,12,169,110,9,3,6,0,6,51,94.44,773,166,607,42.73,4,3,0,0,0,0,,3,36,133,193
453,Jacob Sames,ATX,,185.42,77.112,9,University of Texas at Austin,8,86,72,6,2,4,0,6,75,100.0,773,493,280,61.11,5,0,0,0,0,1,100.0,0,39,47,92
454,John Tan,MAD,,,,49,,3,49,25,4,1,3,2,6,7,,183,65,118,76.0,1,0,0,0,0,1,100.0,13,4,45,56
455,Kevin Johnson,COL,,,,7,,9,111,60,4,0,4,2,6,11,,158,4,154,51.67,0,0,0,0,0,0,,0,0,111,118
456,Luke Bleers,MIN,,,,20,,4,53,38,4,2,2,4,6,13,,310,129,181,55.26,2,2,0,0,0,0,0.0,0,0,53,52
457,Nico Ranabhat,MAD,,,,19,,5,65,52,6,3,3,1,6,17,,346,60,286,42.31,2,1,0,0,0,0,,0,25,40,69
458,Rami Paust,MIN,,,,22,,12,185,185,13,11,2,4,6,114,89.76,1127,751,376,51.35,6,10,0,1,0,3,33.33,1,81,104,219
459,Scott Heyman,PHI,21,185.42,72.576,44,University of Pittsburgh,8,154,78,7,6,1,4,6,69,92.0,862,428,434,46.15,5,5,0,0,0,1,33.33,0,17,137,163
460,Scott Kaltenecker,SLC,,,,14,,8,112,78,6,0,6,4,6,20,90.91,379,-17,396,52.56,4,2,0,2,0,0,0.0,0,1,111,115
461,Thomas Lalonde-Landry,MTL,25,180.34,,24,,12,180,99,9,4,5,6,6,26,76.47,502,133,369,39.39,2,8,0,1,0,1,50.0,5,5,175,214
462,Tim Schoch,CHI,25,185.42,92.988,31,Carleton College,5,96,67,7,2,5,3,6,63,95.45,666,295,371,52.24,5,3,0,1,0,1,33.33,0,24,72,108
463,Wesley Groth,CHI,29,185.42,81.648,33,University of San Diego,5,47,38,4,4,0,3,6,16,,365,142,223,50.0,1,1,0,0,0,1,100.0,1,1,46,58
464,Andrew Padula,LA,30,185.42,,9,UCLA,11,185,104,10,5,5,4,5,74,92.5,723,371,352,40.38,4,6,0,3,0,0,0.0,0,20,165,215
465,Antoine Rousseau,MTL,,,,38,,12,237,154,7,5,2,9,5,143,92.26,1271,1112,159,37.66,9,9,0,2,0,8,72.73,55,44,193,262
466,Andrew Vande Berg,CAR,,,,73,,3,33,19,2,1,1,5,5,11,,120,28,92,,1,2,0,0,0,0,,0,0,33,40
467,Brody Dobson,SLC,,,,30,,4,32,36,5,0,5,0,5,9,,269,-32,301,52.78,1,0,0,0,0,0,,1,27,5,35
468,Cam Bailey,SEA,36,180.34,80.2872,42,Central Washington,1,19,19,5,2,3,1,5,13,,327,123,204,,2,0,0,1,0,0,0.0,0,10,9,24
469,Cole Moore,BOS,,,,6,,11,187,120,11,9,2,3,5,47,82.46,800,507,293,40.0,6,9,0,0,0,4,66.67,0,20,167,200
470,Scott Radlauer,POR,28,185.42,86.184,4,California-San Diego,11,193,89,9,3,6,8,6,42,80.77,848,561,287,31.46,0,9,0,2,0,6,75.0,74,4,189,194
471,Thomas Page,OAK,,,,18,,11,156,126,9,4,5,3,6,47,88.68,774,271,503,42.06,5,6,0,0,0,2,66.67,0,42,114,197
472,Tyler Thomegreene,MIN,,,,7,,11,126,86,6,5,1,2,6,79,95.18,565,517,48,55.81,12,1,0,1,0,1,100.0,6,7,119,151
473,Adrian Golay,IND,,,,33,,9,81,34,5,0,5,1,5,13,,302,-5,307,67.65,4,1,0,0,0,0,,0,3,78,77
474,Alex Pien,OAK,,,,4,,10,135,82,13,8,5,3,5,63,84.0,875,614,261,39.02,4,11,0,0,0,5,71.43,3,0,135,144
475,Andrew  Thompson,PIT,,,,9,Case Western Reserve University,9,101,64,9,5,4,2,5,88,95.65,504,400,104,43.75,4,4,0,2,0,1,25.0,9,17,84,116
476,Brandon Adibe,OTT,22,177.8,70.308,12,Carleton University (CAN),11,182,96,6,2,4,5,5,16,,518,93,425,34.38,2,2,0,4,0,0,,0,15,167,180
477,Ben Landry,IND,,,,72,,12,197,205,12,5,7,2,5,197,95.63,2037,1042,995,55.12,17,8,0,1,0,1,50.0,0,161,36,220
478,Colin McLaughlin,DC,,,,22,,7,101,45,5,0,5,1,5,11,,271,2,269,64.44,2,0,0,1,0,0,,0,0,101,105
479,Charlie Vukovic,PIT,,,,31,,8,118,85,5,3,2,5,5,33,94.29,529,167,362,32.94,1,2,0,3,0,1,33.33,30,21,97,128
480,Jeremy Hess,DC,,,,3,,4,71,21,2,1,1,3,5,8,,162,53,109,61.9,2,0,0,0,0,1,100.0,23,1,70,65
481,Jacob Shoyer,LA,23,190.5,,15,USC,3,48,59,5,2,3,1,5,29,96.67,520,172,348,52.54,3,1,0,0,0,0,,0,45,3,48
482,Khalif El-Salaam,ATL,29,177.8,81.648,31,University of Washington,3,57,38,9,6,3,2,5,27,84.38,699,316,383,50.0,1,5,0,1,0,3,75.0,12,13,44,62
483,Kennith Taylor,ATL,,,,9,,5,56,35,5,3,2,2,5,9,,300,76,224,37.14,1,2,0,0,0,1,50.0,0,0,56,81
484,Liam McDonald,MAD,,,,22,,5,56,32,5,2,3,2,5,18,90.0,300,141,159,50.0,2,2,0,0,0,0,0.0,0,2,54,70
485,Manuel Eckert,SEA,25,187.96,79.38,86,Washington,1,32,40,10,8,2,3,5,78,88.64,763,577,186,52.5,4,8,0,0,0,3,75.0,0,30,2,30
486,Matthew Kissmann,OAK,,,,88,,8,167,218,13,8,5,0,5,309,97.17,2278,1977,301,53.21,22,7,0,1,0,6,60.0,0,167,0,164
487,Matthew Montera,PIT,,,,62,,7,84,50,3,1,2,2,5,13,,176,-19,195,48.0,0,0,0,0,0,0,,0,12,72,96
488,Shane Earley,OAK,30,187.96,86.184,84,Santa Clara,3,73,88,7,2,5,1,5,28,87.5,643,182,461,45.45,2,3,0,0,0,0,0.0,0,71,2,75
489,Seamus Robinson,LA,21,190.5,,30,Cal Poly San Luis Obispo,4,59,31,4,1,3,1,5,11,,244,64,180,35.48,0,0,0,0,0,0,,0,7,52,71
490,James Kittlesen,MIN,30,190.5,86.184,34,University of Minnesota - Duluth,3,49,32,5,1,4,3,5,5,,195,-11,206,50.0,0,2,0,1,0,0,,0,0,49,63
491,James Sykora,MAD,30,187.96,79.38,24,Northern Illinois,5,81,87,10,4,6,1,5,60,93.75,848,417,431,54.02,4,4,0,2,0,1,100.0,0,66,15,80
492,Kevin Nicholl,PIT,27,175.26,56.7,45,,4,42,22,4,3,1,1,5,6,,177,30,147,54.55,0,0,0,0,0,0,,0,5,37,52
493,Logan Kinney,DAL,,,,29,,6,77,55,2,0,2,7,5,27,87.1,349,212,137,38.18,2,4,0,0,0,0,0.0,0,12,65,83
494,Matthew Burke,OAK,,,,26,,9,137,72,8,3,5,1,5,48,92.31,704,268,436,47.22,5,4,0,0,0,1,50.0,3,1,136,146
495,Mac Hecht,DET,,,,74,,1,26,13,4,4,0,2,5,25,96.15,429,310,119,,3,1,0,0,0,2,66.67,2,6,20,27
496,Martin Le,SEA,,,,0,,4,87,94,14,8,6,2,5,110,92.44,947,541,406,47.87,5,6,0,5,0,2,40.0,0,61,26,104
497,Noah Hanson,MIN,,,,44,,2,26,18,3,0,3,2,5,6,,122,43,79,,1,0,0,0,0,0,,0,0,26,24
498,Seth Gudeman,IND,,,,17,,10,118,59,2,0,2,5,5,27,93.1,532,230,302,66.1,3,2,0,0,0,3,75.0,0,10,108,122
499,Tyler Bacon,SD,,175.26,70.308,30,Cal Poly San Luis Obispo,10,174,104,10,7,3,9,5,84,87.5,949,743,206,46.15,7,12,0,2,0,4,50.0,74,10,164,186
500,Terry Gaither,DET,35,182.88,79.38,33,Full Sail,6,70,29,1,0,1,6,5,9,,110,-11,121,20.69,0,1,0,1,0,0,,2,2,68,61
501,Tanner Robinson,ATL,,,,22,,8,94,60,3,3,0,4,5,31,100.0,384,281,103,56.67,3,0,0,2,0,2,100.0,0,12,82,98
502,Anish Indhupuru,TB,,,,21,,6,52,33,4,0,4,1,4,8,,160,15,145,30.3,0,0,0,1,0,0,,0,12,40,56
503,Adam O'Donnell,TOR,29,187.96,,61,Guelph,11,236,258,19,11,8,1,4,340,94.97,2864,2543,321,51.55,16,14,1,2,0,5,62.5,2,195,41,246
504,Billy O'Bryan,TB,27,,,2,Florida,12,284,285,37,25,12,5,4,325,88.8,3559,2365,1194,37.54,20,35,0,3,0,16,72.73,61,144,140,335
505,Ben Rogers,DAL,,185.42,81.648,77,,6,98,86,6,3,3,1,4,41,95.35,770,280,490,47.67,5,2,0,1,0,0,,0,60,38,108
506,Collin Gall,SD,32,180.34,75.7512,7,UC Santa Barbara,5,50,38,7,0,7,0,4,18,81.82,227,55,172,57.89,0,3,0,0,0,0,,1,23,27,42
507,David Hammer,DAL,28,175.26,68.04,87,Texas-Dallas,8,98,68,4,2,2,4,4,30,90.91,606,254,352,32.35,0,3,0,1,0,0,,3,16,82,116
508,Dane Warner,DC,,,,6,,3,38,23,2,1,1,2,4,12,,195,108,87,52.17,0,0,0,0,0,1,100.0,0,0,38,47
509,David Witte,TB,24,,,0,Florida Tech,12,148,100,5,3,2,2,4,44,93.62,349,160,189,42.0,8,3,0,0,0,1,50.0,0,33,115,159
510,Travis Puckrin,TOR,29,185.42,,25,Bowmanville High School,10,116,87,8,5,3,5,5,44,84.62,580,161,419,39.08,3,6,1,2,0,1,25.0,0,32,84,132
511,Yipeng Wang,DET,,,,38,,7,123,56,4,1,3,5,5,20,86.96,298,-3,301,39.29,1,3,0,1,0,1,100.0,0,15,108,109
512,Austin Johnson,MAD,27,182.88,72.576,91,University of Wisconsin-Milwaukee,4,62,73,6,0,6,0,4,66,100.0,639,308,331,58.9,8,0,0,2,0,0,,0,62,0,69
513,Brad Houser,SEA,31,182.88,81.648,60,Seattle Pacific,1,20,28,3,1,2,3,4,13,,248,147,101,39.29,1,1,0,1,0,0,,0,19,1,25
514,Ben Price,DAL,,,,99,,9,117,68,3,1,2,2,4,39,97.5,472,256,216,44.12,2,1,0,0,0,1,50.0,0,21,96,140
515,Brooks Wallace,DAL,23,190.5,92.988,39,Rensselaer Polytechnic Institute,12,219,210,14,7,7,5,4,97,87.39,1392,722,670,41.9,8,14,0,1,0,4,57.14,19,131,88,235
516,Cameron Knox,TOR,23,182.88,,45,Brock University,7,57,29,3,1,2,1,4,7,,113,42,71,34.48,0,0,0,0,0,0,,0,10,47,62
517,Dante Lopez-Escarez,SEA,23,175.26,65.772,3,University of Washington,9,137,86,6,3,3,5,4,35,83.33,546,224,322,45.35,5,5,0,2,0,0,0.0,1,10,127,139
518,Dave Wiseman,COL,35,195.57999999999998,95.256,1,Wisconsin,10,157,102,10,5,5,7,4,74,84.09,1094,818,276,52.94,10,13,0,0,0,7,50.0,100,8,149,168
519,Eric Blais,MAD,26,185.42,79.38,99,Marquette University,9,129,91,6,3,3,2,4,33,86.84,631,166,465,58.24,6,4,0,0,0,2,66.67,37,35,94,149
520,Elliot Warner,SD,,187.96,90.72,1,Claremont McKenna College,10,156,137,6,2,4,4,4,88,93.62,1120,416,704,51.82,10,5,0,1,0,0,,0,73,83,162
521,Gavin Babbitt,ATX,,,,73,,8,70,44,5,1,4,1,4,36,94.74,392,196,196,50.0,5,2,0,0,0,0,,1,0,70,80
522,Jon DeAmicis,DAL,30,182.88,77.112,50,Akron,10,117,70,4,2,2,5,4,17,77.27,436,106,330,42.86,2,5,0,0,0,1,50.0,0,7,110,137
523,Jonny McKoy,DET,,,,14,,5,51,23,3,0,3,1,4,2,,50,-2,52,39.13,0,0,0,0,0,0,,0,0,51,51
524,Kyle Cantal,OTT,30,167.64000000000001,63.504,88,Carleton University (CAN),8,112,55,3,0,3,3,4,8,,98,50,48,36.36,0,2,0,0,0,0,0.0,0,1,111,116
525,Kyle Johnson,LA,24,170.18,,6,UC Santa Barbara,6,58,28,4,1,3,1,4,12,,172,36,136,46.43,1,1,0,0,0,0,,0,1,57,69
526,Landon Shank,LA,24,177.8,,4,Notre Dame,5,68,66,7,0,7,2,4,50,90.91,751,328,423,48.48,7,4,0,1,0,1,50.0,0,36,32,83
527,Matt Ellis,NY,24,185.42,79.38,2,North Carolina-Wilmington,6,72,34,4,3,1,3,4,21,87.5,495,300,195,50.0,2,3,0,0,0,5,83.33,1,0,72,68
528,Nate August,BOS,,,,88,,1,24,23,4,1,3,1,4,5,,250,98,152,60.87,0,1,0,0,0,0,,0,18,6,25
529,Paul Renaud,OTT,29,198.12,83.916,20,Carleton University (CAN),4,77,91,13,7,6,1,4,43,87.76,919,272,647,60.44,6,6,0,4,0,1,33.33,0,76,1,66
530,Felix Moren,POR,,,,1,,3,61,70,7,3,4,2,4,34,91.89,750,256,494,41.43,2,2,0,3,0,3,60.0,0,42,19,70
531,Henry Goldenberg,MAD,,,,4,,7,117,141,22,15,7,1,4,195,91.12,2328,1633,695,48.94,10,17,0,2,0,6,66.67,0,102,15,130
532,Jesse Johnson,CHI,24,185.42,83.916,0,DePaul,1,18,22,4,1,3,0,4,6,,202,30,172,77.27,2,0,0,0,0,0,,0,18,0,14
533,Jackson Stearns,OAK,34,193.04,88.452,21,San Diego State,2,39,27,6,3,3,0,4,11,,334,108,226,44.44,0,2,0,0,0,1,50.0,0,16,23,37
534,Kevin Goldberg,LA,27,172.72,,17,Amherst College,8,120,80,9,6,3,3,4,105,92.92,1258,672,586,46.25,8,8,0,0,0,5,71.43,2,35,85,138
535,Lukas McClamrock,ATL,,,,45,,3,32,22,2,1,1,2,4,7,,127,42,85,54.55,0,0,0,0,0,0,,0,0,32,41
536,Max Dehlin,SLC,,,,9,,9,110,106,7,2,5,0,4,113,98.26,724,655,69,63.21,6,2,0,1,0,0,,1,69,41,103
537,Matt Nelson,SD,,187.96,86.184,2,Cal Poly SLO,4,56,25,1,0,1,5,4,5,,110,31,79,28.0,1,0,0,2,0,0,,0,3,53,55
538,Phillip Joyce,BOS,,,,90,,5,63,40,2,0,2,4,4,13,,188,87,101,45.0,1,2,0,0,0,1,100.0,3,6,57,66
539,Robert Elston,NY,,,,41,,3,34,13,2,1,1,2,4,3,,57,-7,64,,1,0,0,0,0,0,,0,0,34,26
540,Simon Charette,MTL,34,177.8,70.308,64,UQAM,8,98,56,4,2,2,1,4,12,,301,116,185,41.07,3,0,0,1,0,0,,1,5,93,110
541,Steve Mogielski,PIT,,,,32,,11,154,106,6,1,5,5,4,43,87.76,727,218,509,36.79,6,4,0,3,0,3,60.0,1,24,130,179
542,Trip Adams,IND,,,,95,,3,19,11,2,0,2,2,4,7,,178,72,106,,2,0,0,0,0,1,100.0,0,0,19,18
543,Timmy Perston,POR,,,,13,,11,136,84,9,2,7,0,4,10,,499,64,435,35.71,1,4,0,1,0,0,0.0,0,3,133,142
544,Aaron Bartlett,DC,,,,14,,3,54,50,4,2,2,1,3,20,90.91,391,111,280,56.0,4,2,0,0,0,0,,0,26,28,64
545,Braden Eberhard,SLC,,,,20,,4,50,67,7,3,4,0,3,85,95.51,654,414,240,62.69,8,4,0,0,0,0,,0,48,2,45
546,Ben Levinsky,SD,28,182.88,79.38,37,Sonoma State,11,146,88,4,1,3,10,3,28,77.78,452,129,323,36.36,2,7,0,4,0,0,0.0,5,0,146,166
547,Cody Curran,IND,,,,18,,4,65,37,4,1,3,2,3,20,95.24,232,138,94,54.05,2,1,0,2,0,2,66.67,0,14,51,63
548,Eugene L'Heureux,BOS,,,,89,,9,146,80,10,6,4,4,3,28,73.68,666,378,288,42.5,1,10,0,1,0,2,25.0,78,2,144,159
549,Holden Cookson,BOS,,,,70,,3,33,17,1,0,1,3,3,4,,33,31,2,,0,1,0,0,0,0,0.0,5,0,33,36
550,Sten Larson,COL,,,,30,,4,46,18,2,0,2,3,4,8,,153,-11,164,,0,1,0,0,0,0,,0,0,46,42
551,Shane Sisco,CAR,35,180.34,79.38,13,East Carolina,4,43,30,2,0,2,3,4,8,,61,-5,66,40.0,0,1,0,0,0,0,,0,0,43,63
552,Trey Dynes,IND,,,,45,,2,27,31,4,0,4,0,4,9,,188,44,144,80.65,1,0,0,0,0,0,,0,27,0,17
553,Ted Schewe,MAD,,,,66,,1,14,21,4,1,3,1,4,5,,185,36,149,38.1,0,0,0,1,0,1,100.0,0,14,0,18
554,Andrew Geisel,IND,,,,5,,8,89,35,3,1,2,2,3,9,,181,54,127,65.71,1,1,0,1,0,0,0.0,0,4,85,91
555,Bradley Fleming,ATL,,,,34,,4,45,26,3,1,2,0,3,7,,76,32,44,65.38,0,0,0,0,0,0,,0,0,45,76
556,Bryan Walsh,DET,,,,77,,11,320,390,47,34,13,2,3,517,91.18,6066,3434,2632,42.05,24,42,1,4,0,21,55.26,2,304,16,319
557,Curtis Pederson,SEA,,,,7,,2,35,18,3,2,1,1,3,7,,167,138,29,,0,0,0,1,0,2,100.0,0,3,32,33
558,Gabriel Jagt,TB,,,,12,,6,76,70,5,1,4,2,3,11,,341,36,305,28.57,0,3,0,1,0,0,,0,39,37,73
559,Hudson Stuck,LA,,,,77,,4,29,12,2,1,1,1,3,2,,41,28,13,,0,0,0,0,0,0,,0,0,29,28
560,Joe Anderson,COL,,,,21,,7,87,39,2,1,1,3,3,23,92.0,259,54,205,58.97,3,2,0,0,0,0,,0,0,87,96
561,Julián Bonilla,POR,,,,88,,5,54,30,4,0,4,1,3,14,,138,32,106,43.33,0,1,0,1,0,0,,0,0,54,59
562,Joel Caswell,POR,,,,55,,7,60,55,4,0,4,1,3,12,,159,-69,228,41.82,0,0,0,2,0,0,,7,33,27,59
563,Jacob Flowers,IND,,,,11,,2,28,15,4,3,1,0,3,14,,206,130,76,,2,1,0,0,0,2,100.0,0,3,25,29
564,Jerry Kelly,CHI,27,172.72,63.504,76,Northern Illinois University,6,59,24,0,0,0,3,3,7,,86,39,47,50.0,2,0,0,0,0,0,,0,0,59,50
565,Josh Morris,COL,,,,23,,4,51,33,2,0,2,1,3,8,,194,79,115,45.45,2,0,0,0,0,0,,0,0,51,56
566,Jeffrey Robinson,CHI,31,187.96,81.648,45,Western Michigan University,7,101,64,5,1,4,2,3,41,91.11,401,152,249,53.13,4,4,0,0,0,0,0.0,86,1,100,98
567,Jacob Yant,DET,,,,24,,5,58,22,2,0,2,1,3,2,,34,-10,44,36.36,0,0,0,0,0,0,,0,4,54,53
568,Kayle Campbell,OTT,24,175.26,66.2256,77,Carleton University (CAN),11,189,94,3,1,2,9,3,56,90.32,430,172,258,39.36,4,5,0,4,0,1,33.33,0,8,181,208
569,Kyle Vezina,DC,,,,15,,3,42,20,3,0,3,0,3,3,,143,18,125,70.0,0,0,0,0,0,0,,0,0,42,40
570,Johnny Bansfield,DET,,,,5,,3,69,27,6,6,0,2,3,54,88.52,764,553,211,51.85,4,5,0,0,0,3,75.0,14,14,55,62
571,Jake Carrico,MAD,,,,3,,3,29,23,3,0,3,0,3,8,,54,41,13,47.83,0,0,0,0,0,0,,0,1,28,35
572,JC Cox,TB,,,,4,,4,70,96,5,2,3,1,3,57,93.44,401,99,302,33.33,4,3,0,0,0,0,,0,66,4,92
573,Joseph Gu,OAK,,,,14,,6,80,46,4,2,2,2,3,21,87.5,292,114,178,47.83,1,3,0,0,0,1,50.0,1,10,70,86
574,Jay Kinzel,SLC,29,187.96,81.648,3,Wisconsin-Milwaukee,1,17,18,2,2,0,1,3,15,,141,155,-14,,4,0,0,0,0,1,100.0,0,1,16,16
575,Jared Morrow,TOR,27,177.8,,44,York University,10,105,60,1,0,1,5,3,7,,76,24,52,28.33,1,2,0,1,0,0,,65,8,97,123
576,Jake Steen,SEA,25,190.5,74.844,23,University of Washington,2,46,43,4,1,3,1,3,12,,313,47,266,41.86,0,1,0,1,0,0,,0,27,19,44
577,Kevin Anthony,DET,25,190.5,97.524,35,Michigan Technological University,8,165,210,11,8,3,3,3,83,85.57,979,648,331,40.95,5,10,0,1,0,3,75.0,0,157,8,171
578,Kevin van Roosmalen,DET,,,,21,,9,92,60,4,0,4,2,3,13,,251,-3,254,36.67,2,3,0,0,0,0,0.0,0,36,56,83
579,Max Devine,PIT,,,,30,,4,51,47,2,0,2,1,3,16,,107,57,50,31.91,2,0,0,0,0,0,,0,30,21,59
580,Matt Jaffe,CHI,,185.42,83.916,42,Penn State University,8,95,66,6,4,2,3,3,61,91.04,436,461,-25,45.45,6,6,0,0,0,1,100.0,38,0,95,108
581,Max Sample,MAD,,,,44,,2,30,18,1,1,0,2,3,5,,88,34,54,,2,0,0,0,0,0,,0,6,24,32
582,Olivier Bastien,MTL,,,,73,,8,72,33,1,1,0,3,3,9,,119,42,77,45.45,2,0,0,1,0,0,,0,0,72,77
583,Phil Chang,OAK,29,182.88,79.38,43,Middlebury College,9,131,88,4,2,2,3,3,41,91.11,564,257,307,43.18,4,4,1,0,0,1,100.0,4,3,128,148
584,Rui Carvalho,TOR,,,,51,,3,48,27,4,3,1,0,3,18,,355,184,171,40.74,2,1,0,0,0,3,100.0,0,14,34,49
585,Ricky Ramirez,CHI,26,185.42,78.4728,83,Illinois State University,5,37,16,2,1,1,1,3,1,,87,8,79,,0,0,0,0,0,0,,0,0,37,34
586,Solan Megerssa,OAK,,,,47,,8,125,92,6,3,3,2,3,51,92.73,708,177,531,42.39,4,4,0,1,0,2,100.0,0,26,99,149
587,Thomas Dubois,MTL,,,,34,,2,18,9,4,1,3,0,3,1,,181,10,171,,0,1,0,0,0,0,,0,0,18,18
588,Will Casperson,MAD,,,,17,,10,146,81,5,2,3,3,3,60,89.55,334,167,167,49.38,3,5,0,0,0,0,0.0,0,0,146,187
589,Aidan Downey,ATL,,,,80,,2,34,31,1,0,1,1,2,26,100.0,230,228,2,58.06,1,0,0,0,0,0,,0,20,14,38
590,Milan Rivas,CHI,25,180.34,74.844,27,University of Chicago,12,150,98,7,1,6,1,3,64,92.75,485,288,197,46.94,2,4,0,1,0,1,50.0,6,4,146,163
591,Nate Little,PHI,22,190.5,83.916,25,Temple University,3,40,21,3,1,2,1,3,11,,172,24,148,42.86,1,1,0,0,0,1,50.0,6,3,37,45
592,Pat Barron,BOS,,,,21,,6,103,95,6,1,5,3,3,31,83.78,521,171,350,46.32,3,6,0,0,0,0,0.0,0,53,50,110
593,Quinn Buermeyer,POR,,,,62,,9,208,215,13,5,8,3,3,98,90.74,1508,305,1203,40.0,4,10,1,3,0,1,33.33,1,129,79,213
594,Rory Orloff,DAL,,,,25,,10,176,210,10,6,4,3,3,149,93.71,1389,846,543,43.81,10,9,0,1,0,3,50.0,0,145,31,208
595,Sawyer  Fil,DET,,,,25,,6,65,29,3,2,1,3,3,15,,210,34,176,48.28,1,3,0,0,0,0,0.0,1,4,61,64
596,Scott Xu,NY,30,172.72,72.576,22,Rutgers University,6,70,37,5,4,1,1,3,30,88.24,151,192,-41,48.65,2,3,0,0,0,1,100.0,0,0,70,73
