,Name,Team,Age,Height_cm,Weight_kg,Jersey_no,College,Games_played,Points_played,Posessions,Total scores,Assists,Goals,Blocks,+-,Completions,Cmp%,Yards,Throwing Yards,Receiving Yards,Offensive Effic,Hockey assists,Throwaways,Stalls,Drops,Calahans,Hucks,Huck completion %,Pulls,Offensive PP,Defensive PP,Minutes played
306,Trevor Lynch,CAR,23,185.42,77.112,76,NC State,5,84,102,19,11,8,0,12,73,92.41,1511,730,781,60.78,13,6,0,1,0,6,100.0,0,83,1,97
307,William Coffin,CAR,29,185.42,72.576,12,Western Washington,12,156,79,10,4,6,6,12,33,91.67,912,440,472,50.63,2,2,0,2,0,5,71.43,92,6,150,180
308,Adam Vinson,TB,27,180.34,65.772,13,Central Florida,7,124,175,20,4,16,2,11,49,81.67,1269,213,1056,36.57,0,10,0,1,0,1,33.33,0,124,0,179
309,Carter Hawkins,IND,,,,39,,8,97,65,8,8,0,3,11,79,97.53,719,609,110,66.15,5,0,0,0,0,3,75.0,1,17,80,109
310,Lucas Coniaris,IND,,,,8,,13,301,346,30,13,17,3,12,587,96.55,5153,4472,681,58.38,34,19,0,2,0,7,100.0,0,298,3,311
311,Matt LaBar,NY,21,182.88,74.844,20,James Madison University,7,92,57,8,3,5,4,12,24,100.0,526,150,376,66.67,3,0,0,0,0,0,,2,0,92,99
312,Max Thorne,ATL,,,,41,,5,100,120,19,10,9,1,12,91,94.79,1861,891,970,56.67,10,5,0,3,0,7,87.5,0,97,3,112
313,Nathan Huff,SLC,,,,1,,9,127,109,11,4,7,4,12,70,93.33,875,397,478,50.46,7,3,0,0,0,1,50.0,0,27,100,135
314,Oliver Fay,ATX,,,,41,,12,207,125,9,3,6,9,12,46,90.2,898,206,692,51.2,8,4,0,2,0,0,0.0,22,19,188,209
315,Trip Crowley,ATL,,,,1,,8,110,112,15,7,8,4,12,45,86.54,1174,320,854,43.75,3,4,0,3,0,1,50.0,0,55,55,126
316,Tyler Randall,ATL,,,,16,,12,180,109,10,6,4,6,12,91,95.79,845,453,392,52.29,13,4,0,0,1,0,0.0,2,0,180,264
317,Will Selfridge,SLC,,,,8,,3,66,73,15,2,13,0,12,54,98.18,1032,41,991,67.12,6,1,0,2,0,2,66.67,0,62,4,65
318,Charlie Furse,CHI,32,182.88,82.5552,9,Duke,14,167,98,12,4,8,1,11,37,94.87,574,83,491,58.16,4,2,0,0,0,0,0.0,13,3,164,173
319,Eric Carter,ATX,,,,24,,13,148,91,13,10,3,5,11,80,91.95,798,497,301,59.34,17,6,0,1,0,2,40.0,0,1,147,166
320,Ethan Pollack,ATX,34,200.66,95.256,19,Cornell,10,174,103,7,2,5,7,11,51,94.44,739,233,506,47.57,4,3,0,0,0,1,50.0,0,25,149,171
321,Jake Kenniv,DET,,,,15,,10,244,239,21,7,14,5,11,121,89.63,2306,309,1997,39.75,16,10,0,5,0,0,0.0,33,173,71,243
322,Kevin Farrell,SLC,,,,36,,8,119,78,10,2,8,3,11,19,90.48,478,139,339,48.72,2,2,0,0,0,0,,0,0,119,112
323,Marc Rovner,CAR,25,175.26,65.772,43,North Carolina,4,49,33,6,4,2,5,11,16,,306,128,178,57.58,3,0,0,0,0,1,100.0,8,0,49,58
324,Rhys Toogood,OTT,24,185.42,81.648,61,Queen's University,8,151,201,17,13,4,2,11,234,95.9,1902,1810,92,51.24,11,7,1,1,0,4,80.0,0,150,1,169
325,Turner Allen,BOS,,,,7,,4,81,52,7,1,6,6,11,14,,338,18,320,44.23,1,2,0,0,0,0,,0,15,66,77
326,Tony Poletto,MIN,28,175.26,72.576,94,University of Minnesota,11,187,256,23,14,9,3,11,311,95.69,2525,2029,496,49.22,12,13,0,2,0,8,61.54,0,186,1,220
327,Brandon Fein,OAK,35,182.88,79.38,8,,10,180,119,11,3,8,6,10,101,91.82,1277,1026,251,47.9,6,7,0,0,0,3,50.0,119,32,148,178
328,Daniel Garlock,MAD,,,,32,,10,132,87,13,9,4,2,10,106,94.64,1468,954,514,65.52,6,5,0,0,0,3,60.0,67,39,93,137
329,Ethan Bloodworth,CAR,25,177.8,74.844,87,Carleton,10,179,87,11,5,6,3,10,77,92.77,785,164,621,49.43,8,4,0,0,0,2,66.67,0,5,174,205
